date,BBC News,Sky,Reuters,r/worldnews,r/news
22/04/2021,-0.006396981396981397,0.08401911976911978,0.009589400498491404,0.02702380952380952,0.0
23/04/2021,0.060414960414960424,0.03444119769119769,0.05506338899196043,-0.007981818181818184,0.025354978354978356
24/04/2021,0.0440963690963691,0.03491738816738817,0.014995941558441556,-0.002209090909090907,0.05446608946608946
25/04/2021,0.011558149058149059,0.07460173160173161,0.016597291597291595,0.003101010101010102,-0.030924242424242427
26/04/2021,0.06658155212842712,0.06178968253968253,0.11246334310850438,0.01238220668220668,-0.07897290487290487
27/04/2021,0.05657713498622589,0.05194516594516594,0.09048444976076554,0.046901515151515145,0.014127705627705623
28/04/2021,0.05107548701298702,0.05875427746856318,0.08457499707499708,-0.017483636363636368,-0.034272727272727274
29/04/2021,0.05205064033189034,0.034915584415584414,0.04167472598323662,-0.005409090909090912,0.056575757575757585
30/04/2021,0.049224386724386726,0.06571103896103897,0.00016339869281045938,-0.00888888888888889,-0.018945707070707075
01/05/2021,0.07347808441558441,0.028142161783466124,0.03512250161186332,0.01191838383838384,-0.0265
02/05/2021,0.04726167929292929,0.04018717192630236,0.0597979797979798,-0.029212121212121217,-0.05466666666666667
03/05/2021,0.033756087662337654,0.0167012987012987,0.02302188552188552,0.015053198653198666,0.02240454545454546
04/05/2021,0.02801226551226551,0.012902597402597398,0.08440988835725678,0.027297979797979797,0.04259090909090909
05/05/2021,0.04624661796536796,0.05628860028860031,0.06553030303030302,-0.05895959595959595,-0.011025974025974028
06/05/2021,0.07546296296296297,0.077692846835704,0.015508306057086543,0.034515151515151526,-0.013454545454545452
07/05/2021,0.05656430796617713,0.027827458256029686,0.08382088744588746,-0.026451298701298698,0.0014090909090909065
